Product_ID,Category,Product_Name,Rating,Total_Ratings,Total_Reviews,Price,Discount,Product_URL
11,Laptop,"ASUS Expertbook P1 High-performance processor Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) P1503CVA-S70611WS Thin and Light Laptop  (15.6 inch, Misty Grey, 1.65 Kg, With MS Office)",4.3,33304,267,51990,42% off,https://www.flipkart.com/asus-expertbook-p1-high-performance-processor-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-p1503cva-s70611ws-thin-light-laptop/p/itmf788da016f665?pid=COMH8Z2QRZVVN2RZ&lid=LSTCOMH8Z2QRZVVN2RZ9WYQBV&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_11&otracker=search&fm=organic&iid=a2b82e35-ee40-4bc6-beb8-983259186a58.COMH8Z2QRZVVN2RZ.SEARCH&ppt=None&ppn=None&ssid=df3q39pdbk0000001763192420949&qH=c06ea84a1e3dc3c6
12,Laptop,"Samsung Galaxy Book4 Metal Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG3IN / NP750XGJ-LG3IN / NP750XGJ-LG8IN Thin and Light Laptop  (15.6 Inch, Gray, 1.55 Kg, With MS Office)",4.4,44481,294,61990,30% off,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i7-13th-gen-1355u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg3in-np750xgj-lg3in-np750xgj-lg8in-thin-light-laptop/p/itm1df5212efb9fc?pid=COMGZUYDYPUZAAXD&lid=LSTCOMGZUYDYPUZAAXDBMAOEF&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=search&fm=organic&iid=a2b82e35-ee40-4bc6-beb8-983259186a58.COMGZUYDYPUZAAXD.SEARCH&ppt=None&ppn=None&ssid=df3q39pdbk0000001763192420949&qH=c06ea84a1e3dc3c6
13,Laptop,"ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) P1403CVA-S60938WS Thin and Light Laptop  (14 inch, Misty Grey, 1.4 Kg, With MS Office)",4.3,33388,299,38990,48% off,https://www.flipkart.com/asus-expertbook-p1-intel-core-i3-13th-gen-1315u-16-gb-512-gb-ssd-windows-11-home-p1403cva-s60938ws-thin-light-laptop/p/itm0af4b81838b5b?pid=COMH8Z2QAWCCUCSP&lid=LSTCOMH8Z2QAWCCUCSPPZPFKG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=search&fm=organic&iid=a2b82e35-ee40-4bc6-beb8-983259186a58.COMH8Z2QAWCCUCSP.SEARCH&ppt=None&ppn=None&ssid=df3q39pdbk0000001763192420949&qH=c06ea84a1e3dc3c6
14,Laptop,"ASUS Expertbook P1 High-performance processor Intel Core i7 13th Gen 13620H - (32 GB/512 GB SSD/Windows 11 Home) P1403CVA-S60940WS Thin and Light Laptop  (14 inch, Misty Grey, 1.42 Kg, With MS Office)",4.3,3684,51,72990,43% off,https://www.flipkart.com/asus-expertbook-p1-high-performance-processor-intel-core-i7-13th-gen-13620h-32-gb-512-gb-ssd-windows-11-home-p1403cva-s60940ws-thin-light-laptop/p/itmc8b94112958cf?pid=COMH8Z2QT98FWRGH&lid=LSTCOMH8Z2QT98FWRGH3QRD3U&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_14&otracker=search&fm=organic&iid=a2b82e35-ee40-4bc6-beb8-983259186a58.COMH8Z2QT98FWRGH.SEARCH&ppt=None&ppn=None&ssid=df3q39pdbk0000001763192420949&qH=c06ea84a1e3dc3c6
15,Laptop,"Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050) A715-79G Gaming Laptop  (15.6 Inch, Black, 1.99 Kg)",4.3,32769,203,54990,38% off,https://www.flipkart.com/acer-aspire-7-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-a715-79g-gaming-laptop/p/itm8208102c97f99?pid=COMH3G96MYGWSGTF&lid=LSTCOMH3G96MYGWSGTFGZ7TLO&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_15&otracker=search&fm=organic&iid=a2b82e35-ee40-4bc6-beb8-983259186a58.COMH3G96MYGWSGTF.SEARCH&ppt=None&ppn=None&ssid=df3q39pdbk0000001763192420949&qH=c06ea84a1e3dc3c6
16,Laptop,"Acer Chromebook Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CB314-3H-C5QE/ CB314-3H-C0BZ Chromebook  (15.6 inch, Silver, 1.45 Kg)",3.8,82479,170,18990,44% off,https://www.flipkart.com/acer-chromebook-intel-celeron-dual-core-n4500-8-gb-128-gb-emmc-storage-chrome-os-cb314-3h-c5qe-cb314-3h-c0bz/p/itm04458b376eefa?pid=COMGSV3G3RYBAHX4&lid=LSTCOMGSV3G3RYBAHX4RBS9WL&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_16&otracker=search&fm=organic&iid=a2b82e35-ee40-4bc6-beb8-983259186a58.COMGSV3G3RYBAHX4.SEARCH&ppt=None&ppn=None&ssid=df3q39pdbk0000001763192420949&qH=c06ea84a1e3dc3c6
17,Laptop,"Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) A324-51 Thin and Light Laptop  (14 Inch, Steel Gray, 1.45 Kg)",4.2,25226,388,28990,29% off,https://www.flipkart.com/acer-aspire-3-intel-core-i3-12th-gen-1215u-8-gb-256-gb-ssd-windows-11-home-a324-51-thin-light-laptop/p/itm7dda0a4d1d62a?pid=COMHY24R4SNQWZGZ&lid=LSTCOMHY24R4SNQWZGZCPOPEW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_17&otracker=search&fm=organic&iid=a2b82e35-ee40-4bc6-beb8-983259186a58.COMHY24R4SNQWZGZ.SEARCH&ppt=None&ppn=None&ssid=df3q39pdbk0000001763192420949&qH=c06ea84a1e3dc3c6
18,Mobile,"POCO C71 (Cool Blue, 128 GB)  (6 GB RAM)",4.1,123857,1146,6799,32% off,https://www.flipkart.com/poco-c71-cool-blue-128-gb/p/itmfb10bdbf02c6e?pid=MOBHAFVJURDB9QYR&lid=LSTMOBHAFVJURDB9QYRYNBHTJ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=1c3225a7-e454-441e-9871-21bde228caca.MOBHAFVJURDB9QYR.SEARCH&ppt=pp&ppn=pp&ssid=6c1un6lmkw0000001763192561221&qH=eb4af0bf07c16429
19,Mobile,Rastic SM Guru Music 2 Mobile Phone  (White),0,0,0,799,46% off,https://www.flipkart.com/rastic-sm-guru-music-2-mobile-phone/p/itm3686cf469f3b7?pid=MOBHHJUKKBVBB8BV&lid=LSTMOBHHJUKKBVBB8BVWERXPP&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=1c3225a7-e454-441e-9871-21bde228caca.MOBHHJUKKBVBB8BV.SEARCH&ppt=pp&ppn=pp&ssid=6c1un6lmkw0000001763192561221&qH=eb4af0bf07c16429
20,Mobile,"POCO C71 (Desert Gold, 64 GB)  (4 GB RAM)",3.8,846431,2129,6199,31% off,https://www.flipkart.com/poco-c71-desert-gold-64-gb/p/itme3dc58af6a04b?pid=MOBHAFVJZ5CHWMH8&lid=LSTMOBHAFVJZ5CHWMH8MZ5M5D&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=1c3225a7-e454-441e-9871-21bde228caca.MOBHAFVJZ5CHWMH8.SEARCH&ppt=pp&ppn=pp&ssid=6c1un6lmkw0000001763192561221&qH=eb4af0bf07c16429
21,Mobile,"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)  (12 GB RAM)",4.3,311819,999,31999,21% off,https://www.flipkart.com/motorola-edge-60-pro-pantone-shadow-256-gb/p/itme4f8c6dd0e2db?pid=MOBH9C9JBE7X4H8H&lid=LSTMOBH9C9JBE7X4H8HWHFJKC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=1c3225a7-e454-441e-9871-21bde228caca.MOBH9C9JBE7X4H8H.SEARCH&ppt=pp&ppn=pp&ssid=6c1un6lmkw0000001763192561221&qH=eb4af0bf07c16429
22,Mobile,"REDMI Note 14 SE 5G (Crimson Art, 128 GB)  (6 GB RAM)",4.3,314221,579,13499,32% off,https://www.flipkart.com/redmi-note-14-se-5g-crimson-art-128-gb/p/itm10fbd7f3a50f1?pid=MOBHE48SXCFFFTTT&lid=LSTMOBHE48SXCFFFTTTDUVPWS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=1c3225a7-e454-441e-9871-21bde228caca.MOBHE48SXCFFFTTT.SEARCH&ppt=pp&ppn=pp&ssid=6c1un6lmkw0000001763192561221&qH=eb4af0bf07c16429
23,Mobile,"REDMI Note 14 SE 5G (Titan Black, 128 GB)  (6 GB RAM)",4.3,314221,579,13499,32% off,https://www.flipkart.com/redmi-note-14-se-5g-titan-black-128-gb/p/itmbbe0bfdee707d?pid=MOBHE48SMK9RUZHQ&lid=LSTMOBHE48SMK9RUZHQEJUO1P&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=1c3225a7-e454-441e-9871-21bde228caca.MOBHE48SMK9RUZHQ.SEARCH&ppt=pp&ppn=pp&ssid=6c1un6lmkw0000001763192561221&qH=eb4af0bf07c16429
24,Mobile,"POCO C71 (Power Black, 128 GB)  (6 GB RAM)",4.1,123857,1146,6799,32% off,https://www.flipkart.com/poco-c71-power-black-128-gb/p/itm8096ee52d7013?pid=MOBHAFVJJM8BWNKC&lid=LSTMOBHAFVJJM8BWNKCJY0MRA&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=1c3225a7-e454-441e-9871-21bde228caca.MOBHAFVJJM8BWNKC.SEARCH&ppt=pp&ppn=pp&ssid=6c1un6lmkw0000001763192561221&qH=eb4af0bf07c16429
25,Mobile,"POCO M7 5G (Mint Green, 128 GB)  (8 GB RAM)",4.2,212130,599,9999,28% off,https://www.flipkart.com/poco-m7-5g-mint-green-128-gb/p/itm5a4e9a881d94a?pid=MOBH9HFJGB3JSYEF&lid=LSTMOBH9HFJGB3JSYEF2YLMA0&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=1c3225a7-e454-441e-9871-21bde228caca.MOBH9HFJGB3JSYEF.SEARCH&ppt=pp&ppn=pp&ssid=6c1un6lmkw0000001763192561221&qH=eb4af0bf07c16429
26,Mobile,"POCO M7 Pro 5G (Lavender Frost, 128 GB)  (6 GB RAM)",4.3,329275,2198,11999,36% off,https://www.flipkart.com/poco-m7-pro-5g-lavender-frost-128-gb/p/itmf76d7942d780f?pid=MOBH7443JBKHRPGW&lid=LSTMOBH7443JBKHRPGWOC2RGL&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=1c3225a7-e454-441e-9871-21bde228caca.MOBH7443JBKHRPGW.SEARCH&ppt=pp&ppn=pp&ssid=6c1un6lmkw0000001763192561221&qH=eb4af0bf07c16429
27,Mobile,"Moto g67 power 5G (Pantone Parachute, 128 GB)  (8 GB RAM)",4.5,592,3,15999,15% off,https://www.flipkart.com/moto-g67-power-5g-pantone-parachute-128-gb/p/itm2fcd7ff295537?pid=MOBHFSCEBA7G3HXN&lid=LSTMOBHFSCEBA7G3HXNM6IXLV&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=1c3225a7-e454-441e-9871-21bde228caca.MOBHFSCEBA7G3HXN.SEARCH&ppt=pp&ppn=pp&ssid=6c1un6lmkw0000001763192561221&qH=eb4af0bf07c16429
28,Mobile,"REDMI A3X (Ocean Green, 128 GB)  (4 GB RAM)",4.1,19422,392,6499,40% off,https://www.flipkart.com/redmi-a3x-ocean-green-128-gb/p/itmae02f9f3f765a?pid=MOBH22XZ94F6P6QV&lid=LSTMOBH22XZ94F6P6QVR3JTOK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_11&otracker=search&fm=organic&iid=1c3225a7-e454-441e-9871-21bde228caca.MOBH22XZ94F6P6QV.SEARCH&ppt=pp&ppn=pp&ssid=6c1un6lmkw0000001763192561221&qH=eb4af0bf07c16429
29,Mobile,"Moto g06 power (Tapestry, 64 GB)  (4 GB RAM)",4.2,21121,92,7199,28% off,https://www.flipkart.com/moto-g06-power-tapestry-64-gb/p/itmf3d81a7e9b32d?pid=MOBHFSCEW8DQVKDZ&lid=LSTMOBHFSCEW8DQVKDZ2CWXCB&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_12&otracker=search&fm=organic&iid=1c3225a7-e454-441e-9871-21bde228caca.MOBHFSCEW8DQVKDZ.SEARCH&ppt=pp&ppn=pp&ssid=6c1un6lmkw0000001763192561221&qH=eb4af0bf07c16429
30,Mobile,"POCO C75 5G (Enchanted Green, 64 GB)  (4 GB RAM)",4.2,2129220,5807,7499,31% off,https://www.flipkart.com/poco-c75-5g-enchanted-green-64-gb/p/itmf8fdd88f80fcc?pid=MOBH7443VEGWXG4G&lid=LSTMOBH7443VEGWXG4GOW118G&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_13&otracker=search&fm=organic&iid=1c3225a7-e454-441e-9871-21bde228caca.MOBH7443VEGWXG4G.SEARCH&ppt=pp&ppn=pp&ssid=6c1un6lmkw0000001763192561221&qH=eb4af0bf07c16429
31,Mobile,"Moto g67 power 5G (Pantone Cilantro, 128 GB)  (8 GB RAM)",4.5,592,3,15999,15% off,https://www.flipkart.com/moto-g67-power-5g-pantone-cilantro-128-gb/p/itma6f5b15eedd8c?pid=MOBHFSCEWFXTERWP&lid=LSTMOBHFSCEWFXTERWPZ44O8K&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_14&otracker=search&fm=organic&iid=1c3225a7-e454-441e-9871-21bde228caca.MOBHFSCEWFXTERWP.SEARCH&ppt=pp&ppn=pp&ssid=6c1un6lmkw0000001763192561221&qH=eb4af0bf07c16429
32,Mobile,"realme P4 5G (Engine Blue, 128 GB)  (6 GB RAM)",4.4,414450,924,16999,19% off,https://www.flipkart.com/realme-p4-5g-engine-blue-128-gb/p/itmf836e6de035a5?pid=MOBHERXFZSPWPSQN&lid=LSTMOBHERXFZSPWPSQNLLYBYL&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_15&otracker=search&fm=organic&iid=1c3225a7-e454-441e-9871-21bde228caca.MOBHERXFZSPWPSQN.SEARCH&ppt=pp&ppn=pp&ssid=6c1un6lmkw0000001763192561221&qH=eb4af0bf07c16429
33,Mobile,"POCO C71  - Locked with Airtel Prepaid (Desert Gold, 64 GB)  (4 GB RAM)",3.8,846431,2129,5749,36% off,https://www.flipkart.com/poco-c71-locked-airtel-prepaid-desert-gold-64-gb/p/itmb0bb5af15d090?pid=MOBHAFVJ5QYQMBRV&lid=LSTMOBHAFVJ5QYQMBRVX1X4P4&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_16&otracker=search&fm=organic&iid=1c3225a7-e454-441e-9871-21bde228caca.MOBHAFVJ5QYQMBRV.SEARCH&ppt=pp&ppn=pp&ssid=6c1un6lmkw0000001763192561221&qH=eb4af0bf07c16429
34,Mobile,"Moto g06 power (Pantone Tendril, 64 GB)  (4 GB RAM)",4.2,21121,92,7199,28% off,https://www.flipkart.com/moto-g06-power-pantone-tendril-64-gb/p/itm6328c9afec960?pid=MOBHFSCEDQXXDXUQ&lid=LSTMOBHFSCEDQXXDXUQ5OORZ3&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_17&otracker=search&fm=organic&iid=1c3225a7-e454-441e-9871-21bde228caca.MOBHFSCEDQXXDXUQ.SEARCH&ppt=pp&ppn=pp&ssid=6c1un6lmkw0000001763192561221&qH=eb4af0bf07c16429
35,Tablet,MOTOROLA Pad 60 Neo 8 GB RAM 128 GB ROM 11 inch with Wi-Fi+5G Tablet (PANTONE Bronze Green),4.5,57427,637,18999,32% off,https://www.flipkart.com/motorola-pad-60-neo-8-gb-ram-128-rom-11-inch-wi-fi-5g-tablet-pantone-bronze-green/p/itm4aa28823b0e61?pid=TABHETUGU6T947RJ&lid=LSTTABHETUGU6T947RJPZNUAV&marketplace=FLIPKART&q=tablets&store=tyy%2Fhry&srno=s_1_1&otracker=search&fm=organic&iid=9f2af657-e3c1-4d76-bda6-3f371706a292.TABHETUGU6T947RJ.SEARCH&ppt=pp&ppn=pp&ssid=gtxcdj8isg0000001763192698323&qH=c6411ee33ebd1dbd
36,Tablet,REDMI  Pad SE 8 GB RAM 128 GB ROM 11.0 inch with Wi-Fi Only Tablet (Lavender Purple),4.4,415761,993,12999,35% off,https://www.flipkart.com/redmi-pad-se-8-gb-ram-128-rom-11-0-inch-wi-fi-only-tablet-lavender-purple/p/itma5509f73ddb92?pid=TABHYYS9NRJGRYWF&lid=LSTTABHYYS9NRJGRYWFZ9EWXP&marketplace=FLIPKART&q=tablets&store=tyy%2Fhry&srno=s_1_2&otracker=search&fm=organic&iid=9f2af657-e3c1-4d76-bda6-3f371706a292.TABHYYS9NRJGRYWF.SEARCH&ppt=pp&ppn=pp&ssid=gtxcdj8isg0000001763192698323&qH=c6411ee33ebd1dbd
37,Tablet,REDMI  Pad Pro 5G 8 GB RAM 128 GB ROM 12.1 inch with Wi-Fi+5G Tablet (Graphite Grey),4.4,46726,432,22999,14% off,https://www.flipkart.com/redmi-pad-pro-5g-8-gb-ram-128-rom-12-1-inch-wi-fi-5g-tablet-graphite-grey/p/itm96c3c63b39052?pid=TABH32JHGNVFKTDA&lid=LSTTABH32JHGNVFKTDAMNIYYK&marketplace=FLIPKART&q=tablets&store=tyy%2Fhry&srno=s_1_3&otracker=search&fm=organic&iid=9f2af657-e3c1-4d76-bda6-3f371706a292.TABH32JHGNVFKTDA.SEARCH&ppt=pp&ppn=pp&ssid=gtxcdj8isg0000001763192698323&qH=c6411ee33ebd1dbd
38,Tablet,REDMI  Pad SE 4 GB RAM 128 GB ROM 11.0 inch with Wi-Fi Only Tablet (Mint Green),4.4,415761,993,11999,20% off,https://www.flipkart.com/redmi-pad-se-4-gb-ram-128-rom-11-0-inch-wi-fi-only-tablet-mint-green/p/itma5509f73ddb92?pid=TABHYYS9FYTCDFXZ&lid=LSTTABHYYS9FYTCDFXZNGZC7R&marketplace=FLIPKART&q=tablets&store=tyy%2Fhry&srno=s_1_4&otracker=search&fm=organic&iid=9f2af657-e3c1-4d76-bda6-3f371706a292.TABHYYS9FYTCDFXZ.SEARCH&ppt=pp&ppn=pp&ssid=gtxcdj8isg0000001763192698323&qH=c6411ee33ebd1dbd
