Product_ID,Category,Product_Name,Rating,Total_Ratings,Total_Reviews,Price,Discount,Product_URL,Rating_Numeric,Discount_Numeric,Product_Name_Clean,Product_Name_Processed,Product_Brand,Sentiment,Sentiment_Binary,Name_Length,Name_Word_Count,Rating_Category,Popularity_Score,Price_Category
226,Gaming,"ASUS TUF Gaming A16 (2025) AMD Ryzen 7 Hexa Core 7445HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050/144 Hz) FA607NUG-RL189WS Gaming Laptop  (16 Inch, Mecha Gray, 2.2 Kg, With MS Office)",4.5★,551,18,89990,21% off,https://www.flipkart.com/asus-tuf-gaming-a16-2025-amd-ryzen-7-hexa-core-7445hs-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-4050-144-hz-fa607nug-rl189ws-laptop/p/itmef1df61b648a5?pid=COMHEDHRJYPP8TWD&lid=LSTCOMHEDHRJYPP8TWDXOZKVE&marketplace=FLIPKART&q=gaming+laptop&store=4rr%2Ftz1&srno=s_1_1&otracker=search&fm=organic&iid=1aeae08b-4270-44df-894b-adbeb904ba21.COMHEDHRJYPP8TWD.SEARCH&ppt=pp&ppn=pp&ssid=w1ycvptxu80000001763207266668&qH=da5ee6f53d84b3c2,4.5,21,asus tuf gaming a amd ryzen hexa core hs gb tb ssd windows home gb graphics nvidia geforce rtx hz fa nug rl ws gaming laptop inch mecha gray kg with ms office,asus tuf gaming amd ryzen hexa core h gb tb ssd window home gb graphic nvidia geforce rtx hz fa nug rl w gaming laptop inch mecha gray kg m office,ASUS,Positive,1,158,33,Excellent,28.410966208246926,Luxury
227,Gaming,"ASUS TUF Gaming A15 (2025) AMD Ryzen 7 Hexa Core 7445HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) FA506NCG-HN199W Gaming Laptop  (15.6 Inch, Graphite Black, 2.3 Kg)",4.4★,2725,145,68990,17% off,https://www.flipkart.com/asus-tuf-gaming-a15-2025-amd-ryzen-7-hexa-core-7445hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-fa506ncg-hn199w-laptop/p/itmca7ce1e457d2f?pid=COMHEDHRYUAEEEJG&lid=LSTCOMHEDHRYUAEEEJGVUMLP8&marketplace=FLIPKART&q=gaming+laptop&store=4rr%2Ftz1&srno=s_1_2&otracker=search&fm=organic&iid=1aeae08b-4270-44df-894b-adbeb904ba21.COMHEDHRYUAEEEJG.SEARCH&ppt=pp&ppn=pp&ssid=w1ycvptxu80000001763207266668&qH=da5ee6f53d84b3c2,4.4,17,asus tuf gaming a amd ryzen hexa core hs gb gb ssd windows home gb graphics nvidia geforce rtx hz fa ncg hn w gaming laptop inch graphite black kg,asus tuf gaming amd ryzen hexa core h gb gb ssd window home gb graphic nvidia geforce rtx hz fa ncg hn w gaming laptop inch graphite black kg,ASUS,Positive,1,146,30,Excellent,34.80659869392851,Luxury
228,Gaming,"Acer Aspire 7 Intel Core i5 13th Gen 13420H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) A715-79G Gaming Laptop  (15.6 Inch, Black, 1.99 Kg)",4.3★,2411,170,52899,33% off,https://www.flipkart.com/acer-aspire-7-intel-core-i5-13th-gen-13420h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-a715-79g-gaming-laptop/p/itm8208102c97f99?pid=COMH3G96CZNHARJZ&lid=LSTCOMH3G96CZNHARJZXFO1SF&marketplace=FLIPKART&q=gaming+laptop&store=4rr%2Ftz1&srno=s_1_3&otracker=search&fm=organic&iid=1aeae08b-4270-44df-894b-adbeb904ba21.COMH3G96CZNHARJZ.SEARCH&ppt=pp&ppn=pp&ssid=w1ycvptxu80000001763207266668&qH=da5ee6f53d84b3c2,4.3,33,acer aspire intel core i th gen h gb gb ssd windows home gb graphics nvidia geforce rtx a g gaming laptop inch black kg,acer aspire intel core th gen h gb gb ssd window home gb graphic nvidia geforce rtx g gaming laptop inch black kg,Acer,Positive,1,119,25,Excellent,33.489309698742424,Luxury
229,Gaming,"HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Pro/4 GB Graphics/NVIDIA GeForce RTX 2050) 15-fa1312TX Gaming Laptop  (15.6 inch, Mica Silver, 2.3 kg, With MS Office)",4.2★,250,8,64990,13% off,https://www.flipkart.com/hp-victus-intel-core-i5-12th-gen-12450h-8-gb-512-gb-ssd-windows-11-pro-4-graphics-nvidia-geforce-rtx-2050-15-fa1312tx-gaming-laptop/p/itm3ef6fdacff19e?pid=COMHY8KVCDNXVZH4&lid=LSTCOMHY8KVCDNXVZH4ZSXXWG&marketplace=FLIPKART&q=gaming+laptop&store=4rr%2Ftz1&srno=s_1_4&otracker=search&fm=organic&iid=1aeae08b-4270-44df-894b-adbeb904ba21.COMHY8KVCDNXVZH4.SEARCH&ppt=pp&ppn=pp&ssid=w1ycvptxu80000001763207266668&qH=da5ee6f53d84b3c2,4.2,13,hp victus intel core i th gen h gb gb ssd windows pro gb graphics nvidia geforce rtx fa tx gaming laptop inch mica silver kg with ms office,hp victus intel core th gen h gb gb ssd window pro gb graphic nvidia geforce rtx fa tx gaming laptop inch mica silver kg m office,HP,Positive,1,139,29,Excellent,23.20690234435349,Luxury
230,Gaming,"Acer Nitro V AMD Ryzen 5 Hexa Core 6600H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050) ANV15-41-R8G0 Gaming Laptop  (16 inch, Obsidian Black, 2.1 Kg)",4.4★,663,55,57990,46% off,https://www.flipkart.com/acer-nitro-v-amd-ryzen-5-hexa-core-6600h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-anv15-41-r8g0-gaming-laptop/p/itm33a9aedda362e?pid=COMH6C5AMHNHHRUF&lid=LSTCOMH6C5AMHNHHRUFLZBM42&marketplace=FLIPKART&q=gaming+laptop&store=4rr%2Ftz1&srno=s_1_5&otracker=search&fm=organic&iid=1aeae08b-4270-44df-894b-adbeb904ba21.COMH6C5AMHNHHRUF.SEARCH&ppt=pp&ppn=pp&ssid=w1ycvptxu80000001763207266668&qH=da5ee6f53d84b3c2,4.4,46,acer nitro v amd ryzen hexa core h gb gb ssd windows home gb graphics nvidia geforce rtx anv r g gaming laptop inch obsidian black kg,acer nitro v amd ryzen hexa core h gb gb ssd window home gb graphic nvidia geforce rtx anv r g gaming laptop inch obsidian black kg,Acer,Positive,1,133,27,Excellent,28.59244145769631,Luxury
231,Gaming,"Acer Nitro AMD Ryzen 5 Hexa Core 5600H - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) AN515-45/AN515-45-R7Z1 Gaming Laptop  (15.6 Inch, Black, 2.4 KG)",4.5★,513,72,56990,36% off,https://www.flipkart.com/acer-nitro-amd-ryzen-5-hexa-core-5600h-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-an515-45-an515-45-r7z1-gaming-laptop/p/itm5dfe2f652c536?pid=COMG49GT972GJXQ7&lid=LSTCOMG49GT972GJXQ7HEAOBR&marketplace=FLIPKART&q=gaming+laptop&store=4rr%2Ftz1&srno=s_1_6&otracker=search&fm=organic&iid=1aeae08b-4270-44df-894b-adbeb904ba21.COMG49GT972GJXQ7.SEARCH&ppt=pp&ppn=pp&ssid=w1ycvptxu80000001763207266668&qH=da5ee6f53d84b3c2,4.5,36,acer nitro amd ryzen hexa core h gb tb hdd gb ssd windows home gb graphics nvidia geforce rtx hz an an r z gaming laptop inch black kg,acer nitro amd ryzen hexa core h gb tb hdd gb ssd window home gb graphic nvidia geforce rtx hz r z gaming laptop inch black kg,Acer,Positive,1,134,29,Excellent,28.090004694548245,Luxury
232,Gaming,"MSI Thin A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) Thin A15 B7UC-284IN / Thin A15 B7UC-102IN Gaming Laptop  (15.6 Inch, Cosmos Gray, 1.86 Kg)",4.4★,208,23,56990,27% off,https://www.flipkart.com/msi-thin-a15-amd-ryzen-5-hexa-core-7535hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-b7uc-284in-b7uc-102in-gaming-laptop/p/itm61400c2ed6802?pid=COMGXMSXNZSJERHE&lid=LSTCOMGXMSXNZSJERHELUC5TJ&marketplace=FLIPKART&q=gaming+laptop&store=4rr%2Ftz1&srno=s_1_7&otracker=search&fm=organic&iid=1aeae08b-4270-44df-894b-adbeb904ba21.COMGXMSXNZSJERHE.SEARCH&ppt=pp&ppn=pp&ssid=w1ycvptxu80000001763207266668&qH=da5ee6f53d84b3c2,4.4,27,msi thin a amd ryzen hexa core hs gb gb ssd windows home gb graphics nvidia geforce rtx hz thin a b uc in thin a b uc in gaming laptop inch cosmos gray kg,msi thin amd ryzen hexa core h gb gb ssd window home gb graphic nvidia geforce rtx hz thin b uc thin b uc gaming laptop inch cosmos gray kg,MSI,Positive,1,154,35,Excellent,23.50627070864517,Luxury
233,Gaming,"GIGABYTE G Series Intel Core i7 13th Gen 13620H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 4060) G6 KF-H3IN894KH Gaming Laptop  (16 Inch, Black, 2.3 Kg)",4.6★,89,14,97420,39% off,https://www.flipkart.com/gigabyte-g-series-intel-core-i7-13th-gen-13620h-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-4060-g6-kf-h3in894kh-gaming-laptop/p/itm44bf88efbb65c?pid=COMHDNKSYZZHZVT8&lid=LSTCOMHDNKSYZZHZVT8A05NJC&marketplace=FLIPKART&q=gaming+laptop&store=4rr%2Ftz1&srno=s_1_8&otracker=search&fm=organic&iid=1aeae08b-4270-44df-894b-adbeb904ba21.COMHDNKSYZZHZVT8.SEARCH&ppt=pp&ppn=pp&ssid=w1ycvptxu80000001763207266668&qH=da5ee6f53d84b3c2,4.6,39,gigabyte g series intel core i th gen h gb tb ssd windows home gb graphics nvidia geforce rtx g kf h in kh gaming laptop inch black kg,gigabyte g series intel core th gen h gb tb ssd window home gb graphic nvidia geforce rtx g kf h kh gaming laptop inch black kg,GIGABYTE,Positive,1,134,29,Excellent,20.699124483519217,Luxury
234,Gaming,"ASUS TUF Gaming A15 AMD Ryzen 7 Hexa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) FA507NUR-LP082W Gaming Laptop  (15.6 Inch, Mecha Gray, 2.20 Kg)",4.5★,551,18,83990,22% off,https://www.flipkart.com/asus-tuf-gaming-a15-amd-ryzen-7-hexa-core-7435hs-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-fa507nur-lp082w-laptop/p/itmc6ca6f861b082?pid=COMH2XBQSRKDXZMC&lid=LSTCOMH2XBQSRKDXZMCIHNGPM&marketplace=FLIPKART&q=gaming+laptop&store=4rr%2Ftz1&srno=s_1_9&otracker=search&fm=organic&iid=1aeae08b-4270-44df-894b-adbeb904ba21.COMH2XBQSRKDXZMC.SEARCH&ppt=pp&ppn=pp&ssid=w1ycvptxu80000001763207266668&qH=da5ee6f53d84b3c2,4.5,22,asus tuf gaming a amd ryzen hexa core hs gb gb ssd windows home gb graphics nvidia geforce rtx fa nur lp w gaming laptop inch mecha gray kg,asus tuf gaming amd ryzen hexa core h gb gb ssd window home gb graphic nvidia geforce rtx fa nur lp w gaming laptop inch mecha gray kg,ASUS,Positive,1,139,29,Excellent,28.410966208246926,Luxury
235,Gaming,"HP Victus Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) 15-fa2700TX Gaming Laptop  (15.6 inch, Mica Silver, 2.29 Kg, With MS Office)",4.2★,670,34,73990,26% off,https://www.flipkart.com/hp-victus-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-144-hz-15-fa2700tx-gaming-laptop/p/itme78f3d1eccc64?pid=COMH8VXVWNPAZCSX&lid=LSTCOMH8VXVWNPAZCSX2Q0ZXU&marketplace=FLIPKART&q=gaming+laptop&store=4rr%2Ftz1&srno=s_1_10&otracker=search&fm=organic&iid=1aeae08b-4270-44df-894b-adbeb904ba21.COMH8VXVWNPAZCSX.SEARCH&ppt=pp&ppn=pp&ssid=w1ycvptxu80000001763207266668&qH=da5ee6f53d84b3c2,4.2,26,hp victus intel core i th gen h gb gb ssd windows home gb graphics nvidia geforce rtx hz fa tx gaming laptop inch mica silver kg with ms office,hp victus intel core th gen h gb gb ssd window home gb graphic nvidia geforce rtx hz fa tx gaming laptop inch mica silver kg m office,HP,Positive,1,143,30,Excellent,27.336830375281064,Luxury
